"Day" "Month" "median_temp" "min_temp" "max_temp" "prec" "weekend" "consumption"
11 4 21.74 17.2 28.4 0 1 30.505
12 4 19.92 16.8 25.7 0 1 25.07
13 4 20.88 18.1 25.7 0 0 22.62
14 4 21.7 18.4 28.8 0 0 22.001
15 4 21.94 18.5 27.4 0 0 23.469
16 4 21.26 18.6 26.7 25.4 0 21.735
17 4 21.42 18.4 27 37.2 0 21.593
18 4 23.36 18.2 29.3 0 1 33.822
19 4 22.5 20.3 27.2 0 1 28.028
20 4 24 19.3 29.2 20.2 0 24.304
21 4 22.52 19.3 29 0 0 31.108
22 4 20.06 18.9 21.6 2.4 0 19.113
23 4 21.2 18.6 24.9 14.6 0 23.198
24 4 22.52 19.3 28.1 0 0 24.388
25 4 19.18 17.4 23.3 0 1 27.42
26 4 19.04 16.1 23.7 0.8 1 30.479
27 4 19.82 17.5 24.9 0 0 21.838
28 4 20.26 17.2 26.9 0 0 20.812
29 4 18.66 16.8 22.7 0 0 19.761
30 4 16.22 14.7 18.7 0 0 20.452
1 5 17.34 13.4 22 0 0 17.939
2 5 19.26 14.7 26.4 0 1 25.272
3 5 21.04 15.8 26.3 0 1 28.049
4 5 19.96 17.9 22.3 1 0 25.317
5 5 18.14 16.6 20.8 9.9 0 21.826
6 5 17.76 15.9 20.4 0 0 20.68
7 5 17.8 15.8 21.7 0 0 19.143
8 5 16.14 13.9 19.2 0 0 18.146
9 5 18.04 13.7 26.1 0 1 25.489
10 5 16.94 13.7 21 0 1 23.537
11 5 17.86 15.7 20.6 22.2 0 16.956
12 5 17.12 14.2 21.7 0 0 19.052
13 5 16.34 14.7 18.9 2.8 0 17.287
14 5 16.72 14.2 21 0 0 20.3
15 5 16.84 13.6 21.5 0 0 20.538
16 5 17.18 13.2 22.3 0 1 23.702
17 5 18.26 15.4 22.4 0 1 28.411
18 5 18.6 16.6 21.3 0 0 21.073
19 5 18.64 17 22.9 0 0 24.215
20 5 18.74 15.9 23.3 0.2 0 19.525
21 5 19.46 16.3 25 0 0 20.786
22 5 20.26 16.3 25.4 0 0 20.429
23 5 19.94 15.9 24.4 0 1 27.25
24 5 21.8 17.9 26.3 0 1 31.387
25 5 22.06 17.5 27.4 0 0 26.075
26 5 21.28 19.7 24.8 0 0 22.162
27 5 22.94 19.7 27.1 0 0 24.258
28 5 18.56 16.8 23.2 1.8 0 24.683
29 5 17.68 15.3 21.9 7.2 0 21.245
30 5 17.52 13.1 22.9 0 1 25.937
31 5 16.28 13.6 18.4 5.6 1 26.081
1 6 16.28 15.2 18 2.2 0 16.228
2 6 16.04 15 17.5 0.5 0 20.106
3 6 17.94 15 21.7 0 0 21.055
4 6 18.36 14.6 24.1 0 0 22.772
5 6 18.32 14.1 25.3 0 0 25.142
6 6 19.66 13.8 26.1 0 1 31.129
7 6 20.62 15.9 26.2 0 1 30.498
8 6 20.86 15.2 26.4 0 0 26.15
9 6 20.32 15.2 26 0 0 21.327
10 6 20.54 15.5 26.2 0 0 22.008
11 6 22.72 17.5 26.9 0 0 24.615
12 6 18.8 16.9 23.5 0 0 22.375
13 6 21.1 15.5 27.4 0 1 29.607
14 6 22.76 18.1 27.3 0 1 32.983
15 6 16.02 13.1 23.4 0 0 19.119
16 6 14.82 12.1 18.1 9 0 21.029
17 6 19.8 13.9 25.1 0 0 23.898
18 6 19.88 15.8 26.2 0 0 24.534
19 6 14.66 13.2 17.7 3.8 0 16.748
20 6 15.82 12.5 20.4 0 1 23.055
21 6 17.32 12.6 24.6 0 1 28.857
22 6 18.54 13.1 24.6 0 0 23.022
23 6 19.02 14.4 25.5 0 0 27.146
24 6 14.54 13.9 18 3.8 0 17.241
25 6 14.72 12.1 17.4 1 0 19.463
26 6 15.26 12 20.9 0 0 21.86
27 6 15.34 10.6 20.8 0 1 24.227
28 6 15.48 11.2 21.8 0 1 27.594
29 6 17.2 11 24.4 0 0 24.863
30 6 19.36 13.2 25.1 0 0 20.161
1 7 17.78 16.2 20.5 0 0 20.824
2 7 17.2 15.1 19.9 1.6 0 19.727
3 7 17.52 15.6 18.4 17.8 0 14.94
4 7 14.94 10.9 21 15.2 1 24.632
5 7 12.9 11 14.5 4.4 1 21.294
6 7 15.78 11.3 20.6 0 0 18.448
7 7 16.8 13.3 20.2 0 0 21.237
8 7 17.02 14.9 18.7 4.5 0 19.849
9 7 17.54 15.3 20.4 0 0 20.74
10 7 19.24 14 25.4 0 0 25.698
11 7 17.46 16 19.8 0 1 26.691
12 7 20.32 14 27.4 3 1 33.298
13 7 22.06 16.7 28.7 0 0 25.64
14 7 23.3 18.4 29.3 0 0 23.937
15 7 20.18 17.2 27.6 0 0 28.742
16 7 19.88 16.2 25.8 0 0 21.748
17 7 19.14 15.8 24.3 0 0 22.032
18 7 20.2 18.2 23.8 0 1 24.827
19 7 19.98 14.6 25.9 0 1 32.473
20 7 20.56 14.9 25.1 0 0 20.62
21 7 16.72 14 21.4 0 0 21.825
22 7 14.52 12.8 16.1 0 0 14.343
23 7 17.02 13.6 20.6 0 0 19.029
24 7 18.46 14.3 25.8 0 0 21.104
25 7 15.9 14.9 17.9 16.6 1 20.738
26 7 16.82 13.6 22.9 2 1 25.233
27 7 16.6 11 24.2 0 0 18.975
28 7 16.46 11.6 24.5 0 0 19.64
29 7 16.2 11 23.8 0 0 22.522
30 7 16.76 11.3 26.7 0 0 24.227
31 7 19.24 12.8 26.6 0 0 24.726
1 8 19.78 14.3 26.4 0 1 32.467
2 8 20.1 13.8 26.3 0 1 31.663
3 8 21.16 14.9 26.9 0 0 25.867
4 8 21.04 15.2 27.4 0 0 27.724
5 8 20.96 15 27.2 0 0 22.039
6 8 21.06 16.3 27.7 0 0 26.127
7 8 22.08 15.5 28.9 0 0 26.58
8 8 21.16 16 27.8 0 1 31.31
9 8 19.62 15.6 26.2 0 1 33.517
10 8 21.2 15.6 28 0 0 23.181
11 8 19.6 15.2 27.2 0 0 24.183
12 8 20.12 14.1 26.6 0 0 24.594
13 8 20.42 14.1 28.1 0 0 22.61
14 8 20.86 15.3 27.6 0 0 25.479
15 8 21.44 15.6 27.8 0 1 29.621
16 8 20.56 16.2 27.2 0 1 26.272
17 8 21.58 15.3 28 0 0 22.541
18 8 21.3 16.7 26.5 0 0 23.07
19 8 20.74 17.3 28.3 0 0 26.021
20 8 16.2 14.8 19.6 0 0 17.655
21 8 16.84 13.2 22.1 1 0 23.243
22 8 18.08 14.1 26.2 0 1 30.177
23 8 20.22 13.5 30 0 1 27.518
24 8 16.98 15.1 20.5 0 0 23.21
25 8 16.98 14.3 20.5 2.4 0 21.092
26 8 18.92 14.8 24 0.6 0 23.357
27 8 16.1 13.8 19.8 2.6 0 17.888
28 8 16.28 12.8 22.1 25 0 22.217
29 8 18.46 12.2 26.7 0 1 31.681
30 8 22.52 14.3 32 0 1 31.833
31 8 24.54 16.6 32.2 0 0 28.441
1 9 21.44 17.2 30.7 0 0 22.389
2 9 16.1 14.1 20.2 0.4 0 20.681
3 9 19.3 14.8 25 0 0 24.222
4 9 16.66 15.2 19.3 0 0 19.345
5 9 16.12 14.4 18.5 2.4 1 21.827
6 9 16.48 13.3 19.9 0 1 23.566
7 9 18.72 13.8 24.4 0.1 0 20.227
8 9 17.08 15.8 19.2 23.6 0 17.075
9 9 18.82 15.8 22.9 58 0 16.977
10 9 18.92 13.9 25.6 0 0 21.525
11 9 16.88 14.1 21.8 31.8 0 21.454
12 9 14 12.8 15.6 27.6 1 21.814
13 9 14.18 12.5 16.1 0 1 21.252
14 9 16.46 13 22.5 0.2 0 20.464
15 9 21.18 14.4 30.1 0 0 30.775
16 9 25.24 17.2 32.6 0 0 25.343
17 9 27.26 20.4 33 0 0 33.93
18 9 28.06 21.3 34.5 0 0 26.311
19 9 28 21.1 35.5 0 1 31.836
20 9 23.6 19.2 33.3 0 1 34.695
21 9 24.72 17.4 32.8 0 0 29.829
22 9 25.7 18.9 33.3 0 0 26.362
23 9 26.14 18.3 34 0 0 32.589
24 9 28.3 20.5 35.3 0 0 30.345
25 9 23.24 19.2 30.3 0 0 29.411
26 9 20.58 18.2 24.9 28.6 1 29.637
27 9 22.3 18.2 30.6 1.8 1 32.184
28 9 21.22 17.5 23.6 27.2 0 17.731
29 9 21.8 17.5 27.1 0 0 24.114
30 9 21.52 18.6 27.6 0 0 28.034
1 10 20.96 17.6 26.4 7.6 0 22.664
2 10 24.74 19.3 32.7 0 0 27.488
3 10 20.28 16.1 25 25 1 24.876
4 10 18.6 17.1 21.3 0.2 1 24.862
5 10 17.36 14.8 22.4 0 0 24.679
6 10 18.26 14.6 24.7 0 0 22.304
7 10 24.5 15.9 32.6 0 0 30.329
8 10 26.56 19.3 34 0 0 33.182
9 10 24.52 19.8 29 0 0 23.849
10 10 23.06 19.6 28 0.3 1 33.33
11 10 22.48 19.6 30 0 1 34.496
12 10 22.76 19 29.6 0 0 26.249
13 10 21.4 18.1 27.6 2.4 0 26.523
14 10 23.62 18.2 28.5 0 0 26.793
15 10 28.12 18.9 35.8 0 0 35.861
16 10 26.24 21.3 35.7 0 0 27.387
17 10 21.22 17.3 29.2 0 1 32.666
18 10 16.76 15.5 19.2 0.1 1 22.199
19 10 19.86 15.5 27.2 0 0 24
20 10 26.3 17.2 35.3 0 0 27.871
21 10 24.62 21.3 32 0 0 31.139
22 10 19.9 17.7 22.8 14.6 0 23.065
23 10 20.5 17.6 27.3 13.4 0 26.594
24 10 17.94 16.2 21.2 0 1 27.657
25 10 17.64 15.7 19.2 0 1 26.594
26 10 20.86 16 28.5 28.4 0 28.084
27 10 22 19.1 28.4 0.1 0 27.582
28 10 20.42 18.6 23.9 0 0 24.862
29 10 20.56 18.2 24.8 0 0 22.634
30 10 23.86 19.1 31.2 0 0 31.649
31 10 23.18 18.2 29.3 0 1 35.781
1 11 20.22 18.7 22.4 27.2 1 24.429
2 11 21.82 18.3 27.2 39.6 0 20.648
3 11 21.86 19.5 25.6 3.4 0 22.741
4 11 21.52 18.6 27.4 6.8 0 21.479
5 11 21.8 18.2 24.8 39.3 0 23.134
6 11 19.76 18 22.8 0 0 20.575
7 11 18.3 16.8 20 1.2 1 24.33
8 11 20.24 17.4 23.9 0.6 1 28.61
9 11 22.98 18.7 29.5 4.4 0 28.456
10 11 23.72 19.4 31.8 10.4 0 27.964
11 11 26.2 19.8 32.7 0 0 29.569
12 11 23.78 20.8 31.8 0 0 29.267
13 11 22.78 19.4 29.6 0 0 28.647
14 11 25.06 19.5 30.4 16.4 1 26.836
15 11 23.06 19.8 29.7 8 1 29.386
16 11 21.16 19.4 24.9 0 0 24.609
17 11 21.76 17.7 29.7 0 0 26.964
18 11 25.5 17.6 30.5 14.1 0 23.614
19 11 26.16 23.3 30.4 0 0 22.96
20 11 23.28 19.6 27 6.8 0 20.332
21 11 19.44 17.2 24.4 7.2 1 30.392
22 11 22.26 17.1 28.8 0 1 31.933
23 11 20.8 19.6 23.6 13.6 0 21.662
24 11 21.36 19.3 22.6 7 0 21.689
25 11 21.26 19.3 24.8 0.4 0 25.119
26 11 22.28 19 27.4 0 0 25.285
27 11 22.28 17.6 28.4 0 0 28.979
28 11 23.7 18.7 29.8 0 1 34.382
29 11 22.38 20.5 26 17.4 1 30.617
30 11 19.1 16.7 23.3 23.4 0 20.238
1 12 20.1 16.4 25.8 0 0 24.529
2 12 22.1 18.2 29.4 0 0 30.471
3 12 22.44 20.2 26.1 0 0 28.405
4 12 22.76 19 29.1 0 0 29.513
5 12 24.8 19.5 30.6 0.1 1 32.451
6 12 23.12 20.6 28 0.1 1 32.78
7 12 20.04 18 23.9 47.8 0 23.375
8 12 21.7 18 28 0 0 27.713
9 12 23.96 19.6 27.9 0 0 27.137
10 12 24 22.2 27.7 0 0 22.933
11 12 24.04 20.7 30.3 0 0 30.74
12 12 23.92 20.6 30.8 0 1 29.579
13 12 24.54 19.3 31 12.2 1 29.188
14 12 26.28 21.1 32.5 2 0 28.131
15 12 25.66 20.6 32.8 4 0 28.617
16 12 22.04 20.7 24.8 1.5 0 21.062
17 12 23.32 18.9 28.7 0 0 24.337
18 12 26.42 19.6 33.5 0.1 0 27.042
19 12 23.74 19.8 31.3 1.3 1 32.536
20 12 22.84 19.6 29 8.4 1 30.127
21 12 23.12 19.6 29.1 27.2 0 24.834
22 12 24.6 19.6 32.4 43 0 26.828
23 12 27.46 22.1 32.4 3 0 26.468
24 12 24.72 20.5 31.5 3.4 0 31.572
25 12 23.58 17.8 31 39 0 26.308
26 12 23.34 17.8 29.8 94.8 1 21.955
27 12 24 21.1 28.2 13.6 1 32.307
28 12 22.64 21.1 26.7 0 0 26.095
29 12 21.68 20.3 24.1 10.3 0 22.309
30 12 21.38 19.3 22.4 6.3 0 20.467
31 12 24.76 20.2 29 0 0 22.446
