"area" "perimeter" "length" "width" "asymmetry" "Class"
12.36 13.19 5.076 3.042 3.22 0
15.38 14.9 5.884 3.268 4.462 1
13.22 13.84 5.395 3.07 4.157 0
16.16 15.33 5.845 3.395 4.266 1
12.78 13.57 5.262 3.026 1.176 0
15.56 14.89 5.776 3.408 4.972 1
12.88 13.5 5.139 3.119 2.352 0
15.38 14.66 5.477 3.465 3.6 1
14.34 14.37 5.63 3.19 1.313 0
17.36 15.76 6.145 3.574 3.526 1
14.01 14.29 5.609 3.158 2.217 0
15.57 15.15 5.92 3.231 2.64 1
14.37 14.39 5.569 3.153 1.464 0
15.6 15.11 5.832 3.286 2.725 1
12.73 13.75 5.412 2.882 3.533 0
16.23 15.18 5.872 3.472 3.769 1
